TAX DEDUCTIONS TRACKER, , , , , , , , , , , ,
Repairs & Maintenance, [SUMIF], Schedule C - Line 21, [%], , , , , , , , ,
Supplies, [SUMIF], Schedule C - Line 22, [%], , , , , , , , ,
Taxes & Licenses, [SUMIF], Schedule C - Line 23, [%], , , , , , , , ,
Travel, [SUMIF], Schedule C - Line 24a, [%], , , , , , , , ,
Meals (50% deductible), [SUMIF], Schedule C - Line 24b, [%], , , , , , , , ,
Utilities, [SUMIF], Schedule C - Line 25, [%], , , , , , , , ,
Wages, [SUMIF], Schedule C - Line 26, [%], , , , , , , , ,
Other Expenses, [SUMIF], Schedule C - Line 27a, [%], , , , , , , , ,
, , , , , , , , , , , ,
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
, , , , , , , , , , , ,
TOTAL DEDUCTIONS, [SUM], , 100%, , , , , , , , ,
, , , , , , , , , , , ,
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
, , , , , , , , , , , ,
QUARTERLY SUMMARY, , , , , , , , , , , ,
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
, , , , , , , , , , , ,
Quarter, Total Deductions, Estimated Tax Savings (25% bracket), , , , , , , , , 
Q1 (Jan-Mar), [SUMIFS], [Formula], , , , , , , , , 
Q2 (Apr-Jun), [SUMIFS], [Formula], , , , , , , , , 
Q3 (Jul-Sep), [SUMIFS], [Formula], , , , , , , , , 
Q4 (Oct-Dec), [SUMIFS], [Formula], , , , , , , , , 
, , , , , , , , , , , ,
YEAR TOTAL, [SUM], [Formula], , , , , , , , , 
, , , , , , , , , , , ,
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
, , , , , , , , , , , ,
HOME OFFICE DEDUCTION CALCULATOR, , , , , , , , , , , ,
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
, , , , , , , , , , , ,
Total Square Footage of Home:, [Enter], sq ft, , , , , , , , , 
Square Footage Used for Business:, [Enter], sq ft, , , , , , , , , 
Business Use Percentage:, [Formula]%, , , , , , , , , , 
, , , , , , , , , , , ,
Annual Rent/Mortgage Interest:, [Enter], , , , , , , , , , 
Annual Utilities:, [Enter], , , , , , , , , , 
Annual Insurance:, [Enter], , , , , , , , , , 
Annual Repairs:, [Enter], , , , , , , , , , 
Other Home Expenses:, [Enter], , , , , , , , , , 
, , , , , , , , , , , ,
Total Home Expenses:, [SUM Formula], , , , , , , , , , 
Home Office Deduction:, [Formula] × Business Use %, , , , , , , , , , 
, , , , , , , , , , , ,
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
, , , , , , , , , , , ,
TAX TIPS, , , , , , , , , , , ,
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
, , , , , , , , , , , ,
✓ Keep all receipts for deductible expenses, , , , , , , , , , , ,
✓ Meals are only 50% deductible, , , , , , , , , , , ,
✓ Track mileage for business travel (58.5¢/mile in 2025), , , , , , , , , , , ,
✓ Equipment over $2,500 may need depreciation (Form 4562), , , , , , , , , , , ,
✓ Contractors paid $600+ require 1099-NEC, , , , , , , , , , , ,
✓ Consult a tax professional for complex situations, , , , , , , , , , , ,
, , , , , , , , , , , ,
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
